Viti,Muaji,Përshkrimi i Sektorit,Komuna,Statusi i Regjistrimit,Përshkrimi i Gjobave në bazë të Ligjit,Numri i Tatimpaguesve,Numri i Gjobave të Lëshuara,Vlera e Gjobave të Lëshuara
2019,1,1,27,18,41,1,1,250.0
2019,1,1,27,18,37,2,2,625.0
2019,1,1,27,18,38,1,1,375.0
2019,1,1,27,4,41,1,1,250.0
2019,1,1,27,4,37,2,2,250.0
2019,1,1,11,4,41,1,1,250.0
2019,1,1,11,4,37,1,1,250.0
2019,1,1,25,4,37,1,1,375.0
2019,1,1,25,4,38,1,1,375.0
2019,1,1,33,4,38,1,1,500.0
2019,1,1,7,18,41,1,3,875.0
2019,1,1,7,18,38,1,1,250.0
2019,1,1,17,4,41,1,1,125.0
2019,1,1,19,4,41,2,2,250.0
2019,1,1,19,4,36,1,1,500.0
2019,1,1,26,18,41,4,4,1875.0
2019,1,1,26,18,37,1,1,750.0
2019,1,1,26,4,41,2,2,1500.0
2019,1,1,26,4,53,1,1,2000.0
2019,1,1,3,4,41,2,2,750.0
2019,1,1,3,4,37,1,1,125.0
2019,1,1,3,4,38,1,1,500.0
2019,1,1,3,4,52,1,1,3000.0
2019,1,9,16,18,52,1,1,3000.0
2019,1,9,16,18,57,1,1,1000.0
2019,1,9,16,18,58,1,1,2000.0
2019,1,9,27,18,41,1,1,125.0
2019,1,9,27,18,58,1,1,2000.0
2019,1,9,7,4,52,1,1,3000.0
2019,1,9,7,4,53,1,1,2000.0
2019,1,9,7,4,57,1,1,1000.0
2019,1,9,7,4,58,1,1,2000.0
2019,1,9,19,4,52,1,1,3000.0
2019,1,9,19,4,58,1,1,2000.0
2019,1,9,26,18,52,3,6,18000.0
2019,1,9,26,18,57,1,1,1000.0
2019,1,9,26,18,58,5,10,20000.0
2019,1,9,3,18,52,1,1,3000.0
2019,1,9,3,18,57,1,1,1000.0
2019,1,9,3,18,58,1,2,4000.0
2019,1,10,5,18,33,1,1,625.0
2019,1,10,5,18,38,1,1,625.0
2019,1,10,1,4,37,1,1,125.0
2019,1,10,4,4,53,1,1,2000.0
2019,1,10,33,18,38,1,1,1250.0
2019,1,10,33,18,36,1,1,1250.0
2019,1,10,33,4,37,1,1,125.0
2019,1,10,19,4,38,1,1,250.0
2019,1,10,32,4,38,1,1,250.0
2019,1,19,27,4,37,1,1,125.0
2019,1,19,26,4,37,1,1,125.0
2019,1,7,37,4,38,1,1,250.0
2019,1,7,2,4,36,1,1,500.0
2019,1,7,4,18,39,1,1,1000.0
2019,1,7,25,4,37,1,1,125.0
2019,1,7,26,18,37,1,1,125.0
2019,1,4,4,18,37,1,1,125.0
2019,1,4,27,4,41,1,1,250.0
2019,1,4,27,4,37,1,1,250.0
2019,1,4,7,18,39,1,1,1000.0
2019,1,4,3,18,39,1,1,2000.0
2019,1,4,3,18,36,1,1,2000.0
2019,1,21,24,18,41,1,1,250.0
2019,1,21,24,18,37,1,1,250.0
2019,1,21,24,18,39,1,1,1000.0
2019,1,21,24,4,48,1,1,1132.84
2019,1,21,24,4,41,2,2,500.0
2019,1,21,24,4,35,2,2,500.0
2019,1,21,24,4,37,1,1,125.0
2019,1,21,24,4,38,1,1,250.0
2019,1,21,24,4,39,1,1,1132.84
2019,1,21,34,4,37,1,1,125.0
2019,1,21,34,4,36,1,1,500.0
2019,1,21,13,4,37,1,1,125.0
2019,1,21,5,18,36,1,1,500.0
2019,1,21,5,4,48,1,1,1317.37
2019,1,21,5,4,41,3,3,1817.37
2019,1,21,5,4,37,2,2,500.0
2019,1,21,5,4,38,1,1,250.0
2019,1,21,5,4,36,1,1,500.0
2019,1,21,30,4,48,1,1,578.25
2019,1,21,30,4,37,1,1,578.25
2019,1,21,37,18,37,1,1,125.0
2019,1,21,1,4,41,1,1,250.0
2019,1,21,1,4,37,4,4,625.0
2019,1,21,2,18,48,3,3,1478.25
2019,1,21,2,18,37,5,5,1853.25
2019,1,21,2,18,38,1,1,250.0
2019,1,21,2,18,39,2,2,2000.0
2019,1,21,2,4,48,2,2,914.0
2019,1,21,2,4,35,1,1,125.0
2019,1,21,2,4,37,3,3,1039.0
2019,1,21,4,4,38,1,1,250.0
2019,1,21,6,4,37,1,1,375.0
2019,1,21,6,4,38,1,1,375.0
2019,1,21,12,4,48,1,1,235.43
2019,1,21,12,4,35,1,1,125.0
2019,1,21,12,4,37,1,1,235.43
2019,1,21,27,18,37,1,1,125.0
2019,1,21,27,18,39,1,1,4000.0
2019,1,21,27,4,48,2,2,2311.53
2019,1,21,27,4,41,1,1,125.0
2019,1,21,27,4,37,1,1,125.0
2019,1,21,27,4,38,2,2,1270.03
2019,1,21,27,4,39,1,1,1000.0
2019,1,21,27,4,36,2,2,2541.5
2019,1,21,27,15,37,1,1,125.0
2019,1,21,27,15,39,1,1,1000.0
2019,1,21,28,4,41,1,1,125.0
2019,1,21,28,4,38,1,1,250.0
2019,1,21,28,4,36,1,1,500.0
2019,1,21,25,4,48,1,1,406.25
2019,1,21,25,4,37,5,5,906.25
2019,1,21,33,18,41,3,3,750.0
2019,1,21,33,18,37,3,3,750.0
2019,1,21,33,4,41,1,1,250.0
2019,1,21,33,4,37,1,1,250.0
2019,1,21,33,4,38,2,2,750.0
2019,1,21,35,4,37,1,1,125.0
2019,1,21,7,18,39,1,1,1000.0
2019,1,21,15,18,38,1,1,250.0
2019,1,21,15,4,41,1,1,1000.0
2019,1,21,17,18,38,1,1,250.0
2019,1,21,17,4,41,2,2,500.0
2019,1,21,17,4,37,3,3,625.0
2019,1,21,17,4,39,1,1,2500.0
2019,1,21,17,4,36,1,1,2500.0
2019,1,21,19,18,41,2,2,750.0
2019,1,21,19,18,38,1,1,250.0
2019,1,21,19,18,39,1,1,1000.0
2019,1,21,19,4,48,1,1,100.25
2019,1,21,19,4,49,1,1,80.0
2019,1,21,19,4,41,6,7,875.0
2019,1,21,19,4,35,1,1,125.0
2019,1,21,19,4,38,1,1,250.0
2019,1,21,26,18,41,3,4,500.0
2019,1,21,26,18,37,3,3,2875.0
2019,1,21,26,18,38,3,3,1000.0
2019,1,21,26,18,39,5,5,8125.0
2019,1,21,26,18,52,1,3,9000.0
2019,1,21,26,18,53,1,1,2000.0
2019,1,21,26,18,58,2,7,14000.0
2019,1,21,26,18,36,1,1,625.0
2019,1,21,26,4,48,2,2,2654.96
2019,1,21,26,4,41,5,5,750.0
2019,1,21,26,4,37,4,4,723.0
2019,1,21,26,4,38,1,1,250.0
2019,1,21,26,4,39,1,1,2306.96
2019,1,21,26,4,36,2,2,1000.0
2019,1,21,32,4,48,1,1,121.5
2019,1,21,32,4,41,3,3,1250.0
2019,1,21,32,4,37,1,1,125.0
2019,1,21,36,4,41,1,1,2000.0
2019,1,21,36,4,39,1,1,2000.0
2019,1,21,3,18,41,1,1,125.0
2019,1,21,3,18,39,1,1,1000.0
2019,1,21,20,4,36,1,1,500.0
2019,1,12,34,18,38,1,1,250.0
2019,1,12,37,18,38,1,1,250.0
2019,1,12,27,18,37,1,1,125.0
2019,1,12,26,10,39,1,1,2000.0
2019,2,8,5,18,38,1,1,250.0
2019,2,8,25,18,41,1,1,250.0
2019,2,8,25,18,37,1,1,250.0
2019,2,17,24,18,37,1,1,125.0
2019,2,17,9,18,39,1,1,4000.0
2019,2,17,16,4,38,1,1,250.0
2019,2,17,1,4,37,1,1,625.0
2019,2,17,1,4,38,1,1,625.0
2019,2,17,27,18,38,1,1,250.0
2019,2,17,27,18,39,1,1,1000.0
2019,2,17,27,4,39,2,2,7000.0
2019,2,17,27,20,36,1,1,500.0
2019,2,17,33,4,37,1,1,125.0
2019,2,17,17,18,48,1,1,288.05
2019,2,17,17,18,39,1,1,2000.0
2019,2,17,17,18,36,1,1,2000.0
2019,2,17,17,4,38,1,1,250.0
2019,2,17,19,15,39,1,1,1000.0
2019,2,17,26,18,38,1,1,250.0
2019,2,17,26,18,39,1,1,2000.0
2019,2,17,32,4,35,1,1,375.0
2019,2,17,32,4,38,1,1,375.0
2019,2,18,0,16,39,1,1,1000.0
2019,2,18,5,16,41,1,1,250.0
2019,2,18,16,16,48,1,1,674.0
2019,2,18,16,16,38,1,1,674.0
2019,2,18,1,16,37,3,3,375.0
2019,2,18,2,16,48,2,2,2638.88
2019,2,18,2,16,35,1,1,125.0
2019,2,18,2,16,37,2,2,2638.88
2019,2,18,2,16,38,1,1,250.0
2019,2,18,27,16,37,1,1,125.0
2019,2,18,25,16,39,1,1,3000.0
2019,2,18,33,16,37,1,1,125.0
2019,2,18,33,16,36,1,1,500.0
2019,2,18,19,16,41,1,1,125.0
2019,2,18,26,16,41,1,1,500.0
2019,2,18,26,16,52,2,2,33000.0
2019,2,18,26,16,57,1,1,1000.0
2019,2,18,26,16,36,1,1,500.0
2019,2,18,3,16,39,1,1,5000.0
2019,2,14,24,18,39,1,1,3000.0
2019,2,14,24,4,37,1,1,500.0
2019,2,14,24,4,38,2,2,750.0
2019,2,14,24,4,39,1,1,1500.0
2019,2,14,24,4,36,2,2,2000.0
2019,2,14,34,18,39,1,1,1000.0
2019,2,14,5,18,48,1,1,1138.0
2019,2,14,5,18,38,2,2,500.0
2019,2,14,5,18,39,5,5,5138.0
2019,2,14,5,4,37,1,1,125.0
2019,2,14,16,4,41,2,2,500.0
2019,2,14,22,18,37,1,1,875.0
2019,2,14,22,18,38,1,1,875.0
2019,2,14,2,4,48,2,2,890.0
2019,2,14,2,4,37,3,3,840.0
2019,2,14,2,4,38,3,3,1550.0
2019,2,14,2,4,36,2,2,1750.0
