"Viti Godina Year","Muaji Mesec Month","Përshkrimi i Sektorit (Kryesor)  Opis (Glavnog) Sektora Description of (Primary) Sector","Komuna Opština Municipality","","Statusi i Regjistrimit Status Registracije Registration Status","Përshkrimi i Gjobave në bazë të Ligjit Opis novčanih kazni na osnovu zakona Description of Fines based on the Law","Numri i Tatimpaguesve Broj Poreskih Obveznika Number of Taxpayers","Numri i Gjobave të Lëshuara Broj izrečenih kazni Number of Issued Fines","Vlera e Gjobave të Lëshuara Vrednost izrečenih kazni Value of Issued Fines"
"2019","1","Arsimi","PRIZREN","","Individual","Nd.Neni.53.6-Law 03/L-222","1","1","250"
"2019","1","Arsimi","PRIZREN","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","1","1","250"
"2019","1","Arsimi","PRISHTINË","","SH.P.K.","Nd.Neni.53( 2.3)-Law 03/L-222","1","1","500"
"2019","1","Ndertimtaria","ISTOG","","Individual","Nd.Neni.53(2.2)-Law 03/L-222","1","1","1250"
"2019","1","Ndertimtaria","ISTOG","","Individual","Nd.Neni.53( 2.3)-Law 03/L-222","1","1","1250"
"2019","1","Ndertimtaria","JUNIK","","Individual","Nd.Neni.53(2.2)-Law 03/L-222","1","1","1000"
"2019","1","Ndertimtaria","GJILAN","","Individual","Nd.Neni.53(2.2)-Law 03/L-222","1","1","250"
"2019","1","Ndertimtaria","DRAGASH","","SH.P.K.","Nd.Neni.53.6-Law 03/L-222","1","1","250"
"2019","1","Ndertimtaria","DRAGASH","","SH.P.K.","Nd.Neni.53(2.1)-Law 03/L-222","1","1","250"
"2019","1","Ndertimtaria","FERIZAJ","","Individual","Nd.Neni.15(15.3)-Ligji03/L-222","1","1","500"
"2019","1","Ndertimtaria","PRIZREN","","SH.P.K.","Nd.Neni.53(2.4)-Law 03/L-222","1","1","1000"
"2019","1","Ndertimtaria","PRIZREN","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","1","1","125"
"2019","1","Ndertimtaria","PRIZREN","","Individual","Nd.Neni.53(2.2)-Law 03/L-222","1","1","250"
"2019","1","Ndertimtaria","PRIZREN","","Individual","Nd.Neni.53(2.4)-Law 03/L-222","1","1","1500"
"2019","1","Ndertimtaria","PRIZREN","","Individual","Nd.Neni.53( 2.3)-Law 03/L-222","1","1","1500"
"2019","1","Ndertimtaria","PRIZREN","","Kompani e huaj","Nd.Neni.53(2.1)-Law 03/L-222","1","1","125"
"2019","1","Ndertimtaria","SUHAREKË","","SH.P.K.","Nd.Neni.53(2.4)-Law 03/L-222","1","1","2000"
"2019","1","Ndertimtaria","VUSHTRRI","","SH.P.K.","Nd.Neni.53(2.4)-Law 03/L-222","1","1","1000"
"2019","1","Ndertimtaria","VUSHTRRI","","Individual","Nd.Neni.53(2.4)-Law 03/L-222","1","1","1000"
"2019","1","Ndertimtaria","PRISHTINË","","SH.P.K.","Nd.Neni.53(2.4)-Law 03/L-222","1","1","2000"
"2019","1","Ndertimtaria","FUSHË KOSOVË","","SH.P.K.","Nd.Neni.53(2.4)-Law 03/L-222","1","1","2000"
"2019","1","Ndertimtaria","FUSHË KOSOVË","","SH.P.K.","Nd.Neni.53( 2.3)-Law 03/L-222","1","1","2000"
"2019","1","Ndertimtaria","FUSHË KOSOVË","","Individual","Nd.Neni.53(2.2)-Law 03/L-222","1","1","1000"
"2019","1","Ndertimtaria","FUSHË KOSOVË","","Individual","Nd.Neni.53( 2.3)-Law 03/L-222","1","1","1000"
"2019","1","Person Fizik","PEJË","","Person fizik","Nd.Neni.76(1.7)-Law 04/L-080","1","1","2000"
"2019","1","Person Fizik","PEJË","","Person fizik","Nd.Neni.53( 2.3)-Law 03/L-222","1","1","1000"
"2019","1","Person Fizik","VITI","","Person fizik","Nd.Neni.53(2.1)-Law 03/L-222","1","1","125"
"2019","1","Person Fizik","VITI","","Person fizik","Nd.Neni.53(2.4)-Law 03/L-222","1","1","1000"
"2019","1","Person Fizik","KLINË","","Person fizik","Nd.Neni.53.6-Law 03/L-222","1","1","125"
"2019","1","Person Fizik","GJILAN","","Person fizik","Nd.Neni.53.6-Law 03/L-222","2","2","875"
"2019","1","Person Fizik","GJILAN","","Person fizik","Nd.Neni.76(1.5)-Law 04/L-080","1","1","3000"
"2019","1","Person Fizik","GJILAN","","Person fizik","Nd.Neni.76(1.7)-Law 04/L-080","1","1","2000"
"2019","1","Person Fizik","GJILAN","","Person fizik","Nd.Neni.53( 2.3)-Law 03/L-222","2","2","1000"
"2019","1","Person Fizik","FERIZAJ","","Person fizik","Nd.Neni.59-Law 03/L-222","1","1","274.35"
"2019","1","Person Fizik","FERIZAJ","","Person fizik","Nd.Neni.53.6-Law 03/L-222","1","1","1000"
"2019","1","Person Fizik","PRIZREN","","Person fizik","Nd.Neni.53(2.1)-Law 03/L-222","1","1","125"
"2019","1","Person Fizik","PRIZREN","","Person fizik","Nd.Neni.76(1.5)-Law 04/L-080","1","1","3000"
"2019","1","Person Fizik","VUSHTRRI","","Person fizik","Nd.Neni.53.6-Law 03/L-222","1","1","125"
"2019","1","Person Fizik","PRISHTINË","","Person fizik","Nd.Neni.59-Law 03/L-222","1","2","1413.76"
"2019","1","Person Fizik","PRISHTINË","","Person fizik","Nd.Neni.53(2.1)-Law 03/L-222","1","2","885.38"
"2019","1","Person Fizik","PRISHTINË","","Person fizik","Nd.Neni.53(2.2)-Law 03/L-222","1","1","250"
"2019","1","Person Fizik","PRISHTINË","","Person fizik","Nd.Neni.53(2.4)-Law 03/L-222","3","3","4000"
"2019","1","Person Fizik","PRISHTINË","","Person fizik","Nd.Neni.76(1.5)-Law 04/L-080","2","2","6000"
"2019","1","Person Fizik","PRISHTINË","","Person fizik","Nd.Neni.76(1.7)-Law 04/L-080","2","2","4000"
"2019","1","Person Fizik","FUSHË KOSOVË","","Person fizik","Nd.Neni.53(2.4)-Law 03/L-222","1","1","1000"
"2019","1","Mungon aktiviteti","PRIZREN","","OJQ","Nd.Neni.53(2.1)-Law 03/L-222","1","1","875"
"2019","1","Mungon aktiviteti","PRIZREN","","OJQ","Nd.Neni.53(2.2)-Law 03/L-222","1","1","875"
"2019","1","Mungon aktiviteti","VUSHTRRI","","OJQ","Nd.Neni.53.6-Law 03/L-222","1","1","250"
"2019","1","Mungon aktiviteti","VUSHTRRI","","OJQ","Nd.Neni.53(2.1)-Law 03/L-222","1","1","250"
"2019","1","Mungon aktiviteti","MITROVICË","","Individual","Nd.Neni.59-Law 03/L-222","1","1","419.39"
"2019","1","Mungon aktiviteti","MITROVICË","","Individual","Nd.Neni.53.6-Law 03/L-222","1","1","419.39"
"2019","1","Industria nxjerrese","KAÇANIK","","SH.P.K.","Nd.Neni.53(2.1)-Law 03/L-222","1","1","125"
"2019","1","Industria perpunuese","PEJË","","SH.P.K.","Nd.Neni.53(2.2)-Law 03/L-222","1","1","250"
"2019","1","Industria perpunuese","VITI","","SH.P.K.","Nd.Neni.53( 2.3)-Law 03/L-222","1","1","500"
"2019","1","Industria perpunuese","ISTOG","","SH.P.K.","Nd.Neni.53(2.2)-Law 03/L-222","1","1","500"
"2019","1","Industria perpunuese","ISTOG","","Individual","Nd.Neni.53( 2.3)-Law 03/L-222","1","1","1000"
"2019","1","Industria perpunuese","GJILAN","","SH.P.K.","Nd.Neni.53(2.4)-Law 03/L-222","1","1","1000"
"2019","1","Industria perpunuese","LIPJAN","","Individual","Nd.Neni.53(2.2)-Law 03/L-222","1","1","250"
"2019","1","Industria perpunuese","SHTIME","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","1","1","125"
"2019","1","Industria perpunuese","DRAGASH","","Individual","Nd.Neni.53.6-Law 03/L-222","1","1","250"
"2019","1","Industria perpunuese","DRAGASH","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","1","1","250"
"2019","1","Industria perpunuese","FERIZAJ","","SH.P.K.","Nd.Neni.53(2.1)-Law 03/L-222","2","2","1250"
"2019","1","Industria perpunuese","FERIZAJ","","SH.P.K.","Nd.Neni.53(2.2)-Law 03/L-222","2","2","1250"
"2019","1","Industria perpunuese","FERIZAJ","","Individual","Nd.Neni.59-Law 03/L-222","1","1","425"
"2019","1","Industria perpunuese","FERIZAJ","","Individual","Nd.Neni.53.6-Law 03/L-222","1","1","425"
"2019","1","Industria perpunuese","FERIZAJ","","Individual","Nd.Neni.53(2.2)-Law 03/L-222","1","1","750"
"2019","1","Industria perpunuese","GJAKOVË","","SH.P.K.","Nd.Neni.53(2.4)-Law 03/L-222","1","1","1000"
"2019","1","Industria perpunuese","PRIZREN","","SH.P.K.","Nd.Neni.53.6-Law 03/L-222","1","1","125"
"2019","1","Industria perpunuese","PRIZREN","","SH.P.K.","Nd.Neni.53(2.2)-Law 03/L-222","1","1","250"
"2019","1","Industria perpunuese","PRIZREN","","SH.P.K.","Nd.Neni.53(2.4)-Law 03/L-222","3","4","8500"
"2019","1","Industria perpunuese","PRIZREN","","SH.P.K.","Nd.Neni.53( 2.3)-Law 03/L-222","1","1","2500"
"2019","1","Industria perpunuese","PRIZREN","","Individual","Nd.Neni.53.6-Law 03/L-222","1","1","125"
"2019","1","Industria perpunuese","RAHOVEC","","SH.P.K.","Nd.Neni.53(2.4)-Law 03/L-222","1","1","2000"
"2019","1","Industria perpunuese","RAHOVEC","","Individual","Nd.Neni.53.6-Law 03/L-222","1","1","125"
"2019","1","Industria perpunuese","PODUJEVË","","Individual","Nd.Neni.53.6-Law 03/L-222","1","1","250"
"2019","1","Industria perpunuese","SUHAREKË","","SH.P.K.","Nd.Neni.53(2.4)-Law 03/L-222","1","1","1500"
"2019","1","Industria perpunuese","SUHAREKË","","SH.P.K.","Nd.Neni.53( 2.3)-Law 03/L-222","2","2","2000"
"2019","1","Industria perpunuese","VUSHTRRI","","Individual","Nd.Neni.53.6-Law 03/L-222","1","1","125"
"2019","1","Industria perpunuese","GRAÇANICË","","SH.P.K.","Nd.Neni.53.6-Law 03/L-222","1","1","500"
"2019","1","Industria perpunuese","MITROVICË","","SH.P.K.","Nd.Neni.53.6-Law 03/L-222","1","1","125"
"2019","1","Industria perpunuese","MITROVICË","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","1","1","125"
"2019","1","Industria perpunuese","PRISHTINË","","Individual","Nd.Neni.53.6-Law 03/L-222","2","2","375"
"2019","1","Industria perpunuese","PRISHTINË","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","1","1","125"
"2019","1","Industria perpunuese","SKENDERAJ","","Individual","Nd.Neni.53(2.2)-Law 03/L-222","1","1","500"
"2019","1","Industria perpunuese","FUSHË KOSOVË","","Individual","Nd.Neni.53.6-Law 03/L-222","1","1","250"
"2019","1","Industria perpunuese","FUSHË KOSOVË","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","1","1","250"
"2019","1","Informimi dhe komunikimi","LIPJAN","","SH.P.K.","Nd.Neni.53.6-Law 03/L-222","1","1","500"
"2019","1","Informimi dhe komunikimi","PODUJEVË","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","1","1","2250"
"2019","1","Informimi dhe komunikimi","PODUJEVË","","Individual","Nd.Neni.53(2.4)-Law 03/L-222","1","1","2250"
"2019","1","Informimi dhe komunikimi","PRISHTINË","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","1","1","1000"
"2019","1","Informimi dhe komunikimi","PRISHTINË","","Individual","Nd.Neni.53(2.2)-Law 03/L-222","1","1","1000"
"2019","1","Transporti dhe magazinimi","PRIZREN","","Individual","Nd.Neni.53(2.2)-Law 03/L-222","1","1","500"
"2019","1","Transporti dhe magazinimi","SUHAREKË","","SH.P.K.","Nd.Neni.53( 2.3)-Law 03/L-222","1","1","500"
"2019","1","Transporti dhe magazinimi","PRISHTINË","","SH.P.K.","Nd.Neni.53(2.2)-Law 03/L-222","1","1","250"
"2019","1","Aktivitetet e patundshmerise","PEJË","","SH.P.K.","Nd.Neni.53(2.4)-Law 03/L-222","1","1","500"
"2019","1","Aktivitetet e patundshmerise","PEJË","","SH.P.K.","Nd.Neni.53( 2.3)-Law 03/L-222","1","1","500"
"2019","1","Aktivitetet e tjera sherbyese","PEJË","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","3","3","1000"
"2019","1","Aktivitetet e tjera sherbyese","KLINË","","Individual","Nd.Neni.53.6-Law 03/L-222","1","1","125"
"2019","1","Aktivitetet e tjera sherbyese","PRIZREN","","Individual","Nd.Neni.53.6-Law 03/L-222","1","1","125"
"2019","1","Aktivitetet e tjera sherbyese","VUSHTRRI","","Individual","Nd.Neni.53.6-Law 03/L-222","1","1","125"
"2019","1","Aktivitetet e tjera sherbyese","PRISHTINË","","OJQ","Nd.Neni.53(2.4)-Law 03/L-222","1","1","1000"
"2019","1","Aktivitetet e tjera sherbyese","PRISHTINË","","OJQ","Nd.Neni.53( 2.3)-Law 03/L-222","1","1","500"
"2019","1","Aktivitetet e tjera sherbyese","PRISHTINË","","SH.P.K.","Nd.Neni.53(2.1)-Law 03/L-222","1","1","625"
"2019","1","Aktivitetet e tjera sherbyese","PRISHTINË","","SH.P.K.","Nd.Neni.53(2.2)-Law 03/L-222","1","1","625"
"2019","1","Aktivitetet e tjera sherbyese","PRISHTINË","","SH.P.K.","Nd.Neni.58 (3.2)-Law 03/L-222","1","1","625"
"2019","1","Akomodimi dhe sherbimi ushqimor","PEJË","","SH.P.K.","Nd.Neni.53.6-Law 03/L-222","1","1","1000"
"2019","1","Akomodimi dhe sherbimi ushqimor","PEJË","","Individual","Nd.Neni.53.6-Law 03/L-222","1","1","125"
"2019","1","Akomodimi dhe sherbimi ushqimor","VITI","","Individual","Nd.Neni.53.6-Law 03/L-222","1","1","250"
"2019","1","Akomodimi dhe sherbimi ushqimor","VITI","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","1","1","250"
"2019","1","Akomodimi dhe sherbimi ushqimor","KLINË","","SH.P.K.","Nd.Neni.53.6-Law 03/L-222","1","1","125"
"2019","1","Akomodimi dhe sherbimi ushqimor","KLINË","","Individual","Nd.Neni.53.6-Law 03/L-222","1","1","250"
"2019","1","Akomodimi dhe sherbimi ushqimor","GJILAN","","SH.P.K.","Nd.Neni.53.6-Law 03/L-222","2","2","375"
"2019","1","Akomodimi dhe sherbimi ushqimor","GJILAN","","Individual","Nd.Neni.53.6-Law 03/L-222","5","5","1375"
"2019","1","Akomodimi dhe sherbimi ushqimor","GJILAN","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","1","1","125"
"2019","1","Akomodimi dhe sherbimi ushqimor","SHTIME","","Individual","Nd.Neni.53 (1)-Law 03/L-222","1","1","125"
"2019","1","Akomodimi dhe sherbimi ushqimor","SHTIME","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","2","2","250"
"2019","1","Akomodimi dhe sherbimi ushqimor","DRAGASH","","Individual","Nd.Neni.53.6-Law 03/L-222","1","1","250"
"2019","1","Akomodimi dhe sherbimi ushqimor","DRAGASH","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","1","1","250"
"2019","1","Akomodimi dhe sherbimi ushqimor","FERIZAJ","","SH.P.K.","Nd.Neni.53(2.2)-Law 03/L-222","1","1","500"
"2019","1","Akomodimi dhe sherbimi ushqimor","FERIZAJ","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","2","2","625"
"2019","1","Akomodimi dhe sherbimi ushqimor","FERIZAJ","","Individual","Nd.Neni.53(2.2)-Law 03/L-222","1","1","1000"
"2019","1","Akomodimi dhe sherbimi ushqimor","FERIZAJ","","Ortakëria e përgj.","Nd.Neni.53(2.2)-Law 03/L-222","1","1","250"
"2019","1","Akomodimi dhe sherbimi ushqimor","GJAKOVË","","SH.P.K.","Nd.Neni.53(2.2)-Law 03/L-222","1","1","250"
"2019","1","Akomodimi dhe sherbimi ushqimor","KAÇANIK","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","1","1","125"
"2019","1","Akomodimi dhe sherbimi ushqimor","KAÇANIK","","Ortakëria e përgj.","Nd.Neni.53(2.2)-Law 03/L-222","1","1","250"
"2019","1","Akomodimi dhe sherbimi ushqimor","PRIZREN","","SH.P.K.","Nd.Neni.53.6-Law 03/L-222","1","1","250"
"2019","1","Akomodimi dhe sherbimi ushqimor","PRIZREN","","SH.P.K.","Nd.Neni.53(2.1)-Law 03/L-222","2","2","625"
"2019","1","Akomodimi dhe sherbimi ushqimor","PRIZREN","","SH.P.K.","Nd.Neni.53(2.2)-Law 03/L-222","1","1","375"
"2019","1","Akomodimi dhe sherbimi ushqimor","PRIZREN","","Individual","Nd.Neni.53.6-Law 03/L-222","1","1","250"
"2019","1","Akomodimi dhe sherbimi ushqimor","PRIZREN","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","2","2","250"
"2019","1","Akomodimi dhe sherbimi ushqimor","KAMENICË","","Individual","Nd.Neni.53.6-Law 03/L-222","1","1","250"
"2019","1","Akomodimi dhe sherbimi ushqimor","KAMENICË","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","1","1","250"
"2019","1","Akomodimi dhe sherbimi ushqimor","PODUJEVË","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","1","1","375"
"2019","1","Akomodimi dhe sherbimi ushqimor","PODUJEVË","","Individual","Nd.Neni.53(2.2)-Law 03/L-222","1","1","375"
"2019","1","Akomodimi dhe sherbimi ushqimor","SUHAREKË","","Individual","Nd.Neni.53(2.2)-Law 03/L-222","1","1","500"
"2019","1","Akomodimi dhe sherbimi ushqimor","GRAÇANICË","","SH.P.K.","Nd.Neni.53.6-Law 03/L-222","1","3","875"
"2019","1","Akomodimi dhe sherbimi ushqimor","GRAÇANICË","","SH.P.K.","Nd.Neni.53(2.2)-Law 03/L-222","1","1","250"
"2019","1","Akomodimi dhe sherbimi ushqimor","MALISHEVË","","Individual","Nd.Neni.53.6-Law 03/L-222","1","1","125"
"2019","1","Akomodimi dhe sherbimi ushqimor","MITROVICË","","Individual","Nd.Neni.53.6-Law 03/L-222","2","2","250"
"2019","1","Akomodimi dhe sherbimi ushqimor","MITROVICË","","Individual","Nd.Neni.53( 2.3)-Law 03/L-222","1","1","500"
"2019","1","Akomodimi dhe sherbimi ushqimor","PRISHTINË","","SH.P.K.","Nd.Neni.53.6-Law 03/L-222","4","4","1875"
"2019","1","Akomodimi dhe sherbimi ushqimor","PRISHTINË","","SH.P.K.","Nd.Neni.53(2.1)-Law 03/L-222","1","1","750"
"2019","1","Akomodimi dhe sherbimi ushqimor","PRISHTINË","","Individual","Nd.Neni.53.6-Law 03/L-222","2","2","1500"
"2019","1","Akomodimi dhe sherbimi ushqimor","PRISHTINË","","Individual","Nd.Neni.76(1.7)-Law 04/L-080","1","1","2000"
"2019","1","Akomodimi dhe sherbimi ushqimor","FUSHË KOSOVË","","Individual","Nd.Neni.53.6-Law 03/L-222","2","2","750"
"2019","1","Akomodimi dhe sherbimi ushqimor","FUSHË KOSOVË","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","1","1","125"
"2019","1","Akomodimi dhe sherbimi ushqimor","FUSHË KOSOVË","","Individual","Nd.Neni.53(2.2)-Law 03/L-222","1","1","500"
"2019","1","Akomodimi dhe sherbimi ushqimor","FUSHË KOSOVË","","Individual","Nd.Neni.76(1.5)-Law 04/L-080","1","1","3000"
"2019","1","Artet, Argetimi dhe rekreacioni","LIPJAN","","SH.P.K.","Nd.Neni.76(1.5)-Law 04/L-080","1","1","3000"
"2019","1","Artet, Argetimi dhe rekreacioni","LIPJAN","","SH.P.K.","Nd.Neni.77(1.8)-Law 04/L-080","1","1","1000"
"2019","1","Artet, Argetimi dhe rekreacioni","LIPJAN","","SH.P.K.","Nd.Neni.77(1.9)-Law 04/L-080","1","1","2000"
"2019","1","Artet, Argetimi dhe rekreacioni","PRIZREN","","SH.P.K.","Nd.Neni.53.6-Law 03/L-222","1","1","125"
"2019","1","Artet, Argetimi dhe rekreacioni","PRIZREN","","SH.P.K.","Nd.Neni.77(1.9)-Law 04/L-080","1","1","2000"
"2019","1","Artet, Argetimi dhe rekreacioni","GRAÇANICË","","Individual","Nd.Neni.76(1.5)-Law 04/L-080","1","1","3000"
"2019","1","Artet, Argetimi dhe rekreacioni","GRAÇANICË","","Individual","Nd.Neni.76(1.7)-Law 04/L-080","1","1","2000"
"2019","1","Artet, Argetimi dhe rekreacioni","GRAÇANICË","","Individual","Nd.Neni.77(1.8)-Law 04/L-080","1","1","1000"
"2019","1","Artet, Argetimi dhe rekreacioni","GRAÇANICË","","Individual","Nd.Neni.77(1.9)-Law 04/L-080","1","1","2000"
"2019","1","Artet, Argetimi dhe rekreacioni","MITROVICË","","Individual","Nd.Neni.76(1.5)-Law 04/L-080","1","1","3000"
"2019","1","Artet, Argetimi dhe rekreacioni","MITROVICË","","Individual","Nd.Neni.77(1.9)-Law 04/L-080","1","1","2000"
"2019","1","Artet, Argetimi dhe rekreacioni","PRISHTINË","","SH.P.K.","Nd.Neni.76(1.5)-Law 04/L-080","3","6","18000"
"2019","1","Artet, Argetimi dhe rekreacioni","PRISHTINË","","SH.P.K.","Nd.Neni.77(1.8)-Law 04/L-080","1","1","1000"
"2019","1","Artet, Argetimi dhe rekreacioni","PRISHTINË","","SH.P.K.","Nd.Neni.77(1.9)-Law 04/L-080","5","10","20000"
"2019","1","Artet, Argetimi dhe rekreacioni","FUSHË KOSOVË","","SH.P.K.","Nd.Neni.76(1.5)-Law 04/L-080","1","1","3000"
"2019","1","Artet, Argetimi dhe rekreacioni","FUSHË KOSOVË","","SH.P.K.","Nd.Neni.77(1.8)-Law 04/L-080","1","1","1000"
"2019","1","Artet, Argetimi dhe rekreacioni","FUSHË KOSOVË","","SH.P.K.","Nd.Neni.77(1.9)-Law 04/L-080","1","2","4000"
"2019","1","Bujqesia;Pylltaria dhe Peshkimi","GJILAN","","SH.P.K.","Nd.Neni.50 (1)-Law 03/L-222","1","1","625"
"2019","1","Bujqesia;Pylltaria dhe Peshkimi","GJILAN","","SH.P.K.","Nd.Neni.53(2.2)-Law 03/L-222","1","1","625"
"2019","1","Bujqesia;Pylltaria dhe Peshkimi","DRAGASH","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","1","1","125"
"2019","1","Bujqesia;Pylltaria dhe Peshkimi","GJAKOVË","","Individual","Nd.Neni.76(1.7)-Law 04/L-080","1","1","2000"
"2019","1","Bujqesia;Pylltaria dhe Peshkimi","SUHAREKË","","SH.P.K.","Nd.Neni.53(2.2)-Law 03/L-222","1","1","1250"
"2019","1","Bujqesia;Pylltaria dhe Peshkimi","SUHAREKË","","SH.P.K.","Nd.Neni.53( 2.3)-Law 03/L-222","1","1","1250"
"2019","1","Bujqesia;Pylltaria dhe Peshkimi","SUHAREKË","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","1","1","125"
"2019","1","Bujqesia;Pylltaria dhe Peshkimi","MITROVICË","","Individual","Nd.Neni.53(2.2)-Law 03/L-222","1","1","250"
"2019","1","Bujqesia;Pylltaria dhe Peshkimi","SKENDERAJ","","Individual","Nd.Neni.53(2.2)-Law 03/L-222","1","1","250"
"2019","1","Sherbimet administrative dhe mbeshtetese","PRIZREN","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","1","1","125"
"2019","1","Sherbimet administrative dhe mbeshtetese","PRISHTINË","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","1","1","125"
"2019","1","Aktivitetet profesionale, shkencore dhe teknike","ZVEÇAN","","Individual","Nd.Neni.53(2.2)-Law 03/L-222","1","1","250"
"2019","1","Aktivitetet profesionale, shkencore dhe teknike","FERIZAJ","","Individual","Nd.Neni.53( 2.3)-Law 03/L-222","1","1","500"
"2019","1","Aktivitetet profesionale, shkencore dhe teknike","GJAKOVË","","SH.P.K.","Nd.Neni.53(2.4)-Law 03/L-222","1","1","1000"
"2019","1","Aktivitetet profesionale, shkencore dhe teknike","PODUJEVË","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","1","1","125"
"2019","1","Aktivitetet profesionale, shkencore dhe teknike","PRISHTINË","","SH.P.K.","Nd.Neni.53(2.1)-Law 03/L-222","1","1","125"
"2019","1","Aktivitetet e shendetit te njeriut dhe te punes sociale","GJAKOVË","","SH.P.K.","Nd.Neni.53(2.1)-Law 03/L-222","1","1","125"
"2019","1","Aktivitetet e shendetit te njeriut dhe te punes sociale","PRIZREN","","Individual","Nd.Neni.53.6-Law 03/L-222","1","1","250"
"2019","1","Aktivitetet e shendetit te njeriut dhe te punes sociale","PRIZREN","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","1","1","250"
"2019","1","Aktivitetet e shendetit te njeriut dhe te punes sociale","GRAÇANICË","","SH.P.K.","Nd.Neni.53(2.4)-Law 03/L-222","1","1","1000"
"2019","1","Aktivitetet e shendetit te njeriut dhe te punes sociale","FUSHË KOSOVË","","SH.P.K.","Nd.Neni.53(2.4)-Law 03/L-222","1","1","2000"
"2019","1","Aktivitetet e shendetit te njeriut dhe te punes sociale","FUSHË KOSOVË","","SH.P.K.","Nd.Neni.53( 2.3)-Law 03/L-222","1","1","2000"
"2019","1","Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave","PEJË","","SH.P.K.","Nd.Neni.53.6-Law 03/L-222","1","1","250"
"2019","1","Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave","PEJË","","SH.P.K.","Nd.Neni.53(2.1)-Law 03/L-222","1","1","250"
"2019","1","Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave","PEJË","","SH.P.K.","Nd.Neni.53(2.4)-Law 03/L-222","1","1","1000"
"2019","1","Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave","PEJË","","Individual","Nd.Neni.59-Law 03/L-222","1","1","1132.84"
"2019","1","Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave","PEJË","","Individual","Nd.Neni.53.6-Law 03/L-222","2","2","500"
"2019","1","Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave","PEJË","","Individual","Nd.Neni.53 (1)-Law 03/L-222","2","2","500"
"2019","1","Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave","PEJË","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","1","1","125"
"2019","1","Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave","PEJË","","Individual","Nd.Neni.53(2.2)-Law 03/L-222","1","1","250"
"2019","1","Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave","PEJË","","Individual","Nd.Neni.53(2.4)-Law 03/L-222","1","1","1132.84"
"2019","1","Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave","VITI","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","1","1","125"
"2019","1","Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave","VITI","","Individual","Nd.Neni.53( 2.3)-Law 03/L-222","1","1","500"
"2019","1","Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave","KLINË","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","1","1","125"
"2019","1","Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave","GJILAN","","SH.P.K.","Nd.Neni.53( 2.3)-Law 03/L-222","1","1","500"
"2019","1","Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave","GJILAN","","Individual","Nd.Neni.59-Law 03/L-222","1","1","1317.37"
"2019","1","Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave","GJILAN","","Individual","Nd.Neni.53.6-Law 03/L-222","3","3","1817.37"
"2019","1","Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave","GJILAN","","Individual","Nd.Neni.53(2.1)-Law 03/L-222","2","2","500"
